event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,e2e_latency_ms,deadline_met,mismatch_delay_ms,decision_wall_ms,api_calls,api_input_tokens,api_output_tokens,comparison_state
n10_s2026_e1,10,2026,61,routine,AAI-CDOS,ground,ground1,1000.0,139.198,True,0.0,4778.137,4,1777,90,common_AAI_predecision_state
n10_s2026_e1,10,2026,61,routine,Single Domain,ground,ground1,1000.0,139.198,True,0.0,0.0020740553736686707,0,0,0,common_AAI_predecision_state
n10_s2026_e1,10,2026,61,routine,Independent Agents,ground,ground1,1000.0,139.198,True,0.0,0.008707400411367416,0,0,0,common_AAI_predecision_state
n10_s2026_e1,10,2026,61,routine,One-Shot LLM,ground,ground1,1000.0,139.198,True,0.0,2677.187,1,655,28,common_AAI_predecision_state
n10_s2026_e2,10,2026,75,cooperative,AAI-CDOS,leo,sat0,350.0,137.024,True,0.0,3326.411,4,1762,88,common_AAI_predecision_state
n10_s2026_e2,10,2026,75,cooperative,Single Domain,leo,sat0,350.0,137.024,True,0.0,0.0017629936337471008,0,0,0,common_AAI_predecision_state
n10_s2026_e2,10,2026,75,cooperative,Independent Agents,leo,ground0,350.0,189.73,True,80.0,0.007934868335723877,0,0,0,common_AAI_predecision_state
n10_s2026_e2,10,2026,75,cooperative,One-Shot LLM,leo,sat0,350.0,137.024,True,0.0,1113.638,1,656,28,common_AAI_predecision_state
n10_s2026_e3,10,2026,109,safety,AAI-CDOS,uav,ground0,150.0,36.862,True,0.0,5019.912,4,1773,89,common_AAI_predecision_state
n10_s2026_e3,10,2026,109,safety,Single Domain,uav,uav2,150.0,653.509,False,0.0,0.0019338913261890411,0,0,0,common_AAI_predecision_state
n10_s2026_e3,10,2026,109,safety,Independent Agents,uav,ground0,150.0,116.862,True,80.0,0.007935333997011185,0,0,0,common_AAI_predecision_state
n10_s2026_e3,10,2026,109,safety,One-Shot LLM,uav,ground0,150.0,36.862,True,0.0,1122.457,1,661,28,common_AAI_predecision_state
n10_s2026_e4,10,2026,112,safety,AAI-CDOS,uav,ground0,150.0,30.907,True,0.0,5213.29,4,1762,89,common_AAI_predecision_state
n10_s2026_e4,10,2026,112,safety,Single Domain,uav,uav2,150.0,682.149,False,0.0,0.0018137507140636444,0,0,0,common_AAI_predecision_state
n10_s2026_e4,10,2026,112,safety,Independent Agents,uav,ground0,150.0,110.907,True,80.0,0.007704831659793854,0,0,0,common_AAI_predecision_state
n10_s2026_e4,10,2026,112,safety,One-Shot LLM,uav,ground0,150.0,30.907,True,0.0,1098.617,1,655,28,common_AAI_predecision_state
n10_s2026_e5,10,2026,169,cooperative,AAI-CDOS,uav,sat0,350.0,75.381,True,0.0,2719.667,4,1774,91,common_AAI_predecision_state
n10_s2026_e5,10,2026,169,cooperative,Single Domain,uav,uav0,350.0,704.426,False,0.0,0.0018328428268432617,0,0,0,common_AAI_predecision_state
n10_s2026_e5,10,2026,169,cooperative,Independent Agents,uav,sat0,350.0,155.381,True,80.0,0.007893890142440796,0,0,0,common_AAI_predecision_state
n10_s2026_e5,10,2026,169,cooperative,One-Shot LLM,uav,sat0,350.0,75.381,True,0.0,1281.267,1,661,28,common_AAI_predecision_state
n10_s2027_e1,10,2027,19,cooperative,AAI-CDOS,leo,sat0,350.0,150.838,True,0.0,2175.389,4,1773,88,common_AAI_predecision_state
n10_s2027_e1,10,2027,19,cooperative,Single Domain,leo,sat0,350.0,150.838,True,0.0,0.0018333084881305695,0,0,0,common_AAI_predecision_state
n10_s2027_e1,10,2027,19,cooperative,Independent Agents,leo,sat0,350.0,150.838,True,0.0,0.008075032383203506,0,0,0,common_AAI_predecision_state
n10_s2027_e1,10,2027,19,cooperative,One-Shot LLM,leo,sat0,350.0,150.838,True,0.0,1000.522,1,661,28,common_AAI_predecision_state
n10_s2027_e2,10,2027,91,safety,AAI-CDOS,leo,sat0,150.0,97.973,True,0.0,3052.169,4,1774,90,common_AAI_predecision_state
n10_s2027_e2,10,2027,91,safety,Single Domain,leo,sat0,150.0,97.973,True,0.0,0.00169314444065094,0,0,0,common_AAI_predecision_state
n10_s2027_e2,10,2027,91,safety,Independent Agents,leo,sat0,150.0,97.973,True,0.0,0.00796513631939888,0,0,0,common_AAI_predecision_state
